Date,Day,Month,Year,Customer_Age,Age_Group,Age_Group_NUMBER,Customer_Gender,Country,Product_Category,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
01-01-21,1,January,2021,39,Adults (35-64),1,M,United States,Bikes,3,713.0,1120.0,1221.0,2139.0,3360.0
01-01-21,1,January,2021,33,Young Adults (25-34),1,F,France,Bikes,2,2171.0,3578.0,2814.0,4342.0,7156.0
01-01-21,1,January,2021,17,Youth (<25),1,M,canada,Bikes,1,1519.0,2443.0,924.0,1519.0,2443.0
01-01-21,1,January,2021,23,Youth (<25),1,M,Australia,Bikes,1,1252.0,2295.0,1043.0,1252.0,2295.0
01-01-21,1,January,2021,42,Adults (35-64),1,M,United States,Bikes,1,344.0,540.0,196.0,344.0,540.0
01-01-21,1,January,2021,24,Youth (<25),1,F,United Kingdom,Accessories,30,3.0,9.0,180.0,90.0,270.0
01-01-21,1,January,2021,35,Adults (35-64),1,M,Australia,Accessories,30,13.0,35.0,660.0,390.0,1050.0
01-01-21,1,January,2021,37,Adults (35-64),1,M,Germany,Clothing,30,42.0,54.0,360.0,1260.0,1620.0
01-01-21,1,January,2021,22,Youth (<25),1,M,United States,Accessories,29,1.0,2.0,29.0,29.0,58.0
01-01-21,1,January,2021,30,Young Adults (25-34),1,M,France,Accessories,28,2.0,5.0,84.0,56.0,140.0
01-01-21,1,January,2021,61,Adults (35-64),1,M,canada,Accessories,28,1.0,2.0,28.0,28.0,56.0
01-01-21,1,January,2021,32,Young Adults (25-34),1,M,Australia,Clothing,27,26.0,70.0,1188.0,702.0,1890.0
01-01-21,1,January,2021,24,Youth (<25),1,F,United Kingdom,Accessories,26,3.0,9.0,156.0,78.0,234.0
01-01-21,1,January,2021,41,Adults (35-64),1,F,United States,Accessories,26,2.0,5.0,78.0,52.0,130.0
01-01-21,1,January,2021,42,Adults (35-64),1,M,United States,Accessories,26,2.0,5.0,78.0,52.0,130.0
01-01-21,1,January,2021,35,Adults (35-64),1,F,United Kingdom,Accessories,24,8.0,22.0,336.0,192.0,528.0
01-01-21,1,January,2021,40,Adults (35-64),1,F,United States,Accessories,24,13.0,35.0,528.0,312.0,840.0
01-01-21,1,January,2021,47,Adults (35-64),1,F,United Kingdom,Accessories,24,13.0,35.0,528.0,312.0,840.0
01-01-21,1,January,2021,50,Adults (35-64),1,F,Australia,Accessories,24,13.0,35.0,528.0,312.0,840.0
